2025-06-07 07:43:32 status unpacked tzdata:all 2025b-0+deb12u1
2025-06-07 07:43:32 install usr-is-merged:all <none> 37~deb12u1
2025-06-07 07:43:32 status half-installed usr-is-merged:all 37~deb12u1
2025-06-07 07:43:33 status unpacked usr-is-merged:all 37~deb12u1
2025-06-07 07:43:33 install util-linux:arm64 <none> 2.38.1-5+deb12u3
2025-06-07 07:43:33 status half-installed util-linux:arm64 2.38.1-5+deb12u3
2025-06-07 07:43:33 status unpacked util-linux:arm64 2.38.1-5+deb12u3
2025-06-07 07:43:33 install util-linux-extra:arm64 <none> 2.38.1-5+deb12u3
2025-06-07 07:43:33 status half-installed util-linux-extra:arm64 2.38.1-5+deb12u3
2025-06-07 07:43:33 status unpacked util-linux-extra:arm64 2.38.1-5+deb12u3
2025-06-07 07:43:34 install zlib1g:arm64 <none> 1:1.2.13.dfsg-1
2025-06-07 07:43:34 status half-installed zlib1g:arm64 1:1.2.13.dfsg-1
2025-06-07 07:43:34 status unpacked zlib1g:arm64 1:1.2.13.dfsg-1
2025-06-07 07:43:34 startup packages configure
2025-06-07 07:43:34 configure debian-archive-keyring:all 2023.3+deb12u2 <none>
2025-06-07 07:43:34 status unpacked debian-archive-keyring:all 2023.3+deb12u2
2025-06-07 07:43:34 status half-configured debian-archive-keyring:all 2023.3+deb12u2
2025-06-07 07:43:36 status installed debian-archive-keyring:all 2023.3+deb12u2
2025-06-07 07:43:36 configure usr-is-merged:all 37~deb12u1 <none>
2025-06-07 07:43:36 status unpacked usr-is-merged:all 37~deb12u1
2025-06-07 07:43:36 status half-configured usr-is-merged:all 37~deb12u1
2025-06-07 07:43:36 status installed usr-is-merged:all 37~deb12u1
2025-06-07 07:43:36 configure libaudit-common:all 1:3.0.9-1 <none>
2025-06-07 07:43:36 status unpacked libaudit-common:all 1:3.0.9-1
2025-06-07 07:43:36 status half-configured libaudit-common:all 1:3.0.9-1
2025-06-07 07:43:36 status installed libaudit-common:all 1:3.0.9-1
2025-06-07 07:43:36 configure libsemanage-common:all 3.4-1 <none>
2025-06-07 07:43:36 status unpacked libsemanage-common:all 3.4-1
2025-06-07 07:43:36 status half-configured libsemanage-common:all 3.4-1
2025-06-07 07:43:36 status installed libsemanage-common:all 3.4-1
2025-06-07 07:43:36 configure debconf:all 1.5.82 <none>
2025-06-07 07:43:36 status unpacked debconf:all 1.5.82
2025-06-07 07:43:36 status half-configured debconf:all 1.5.82
2025-06-07 07:43:37 status installed debconf:all 1.5.82
2025-06-07 07:43:37 configure gcc-12-base:arm64 12.2.0-14+deb12u1 <none>
2025-06-07 07:43:37 status unpacked gcc-12-base:arm64 12.2.0-14+deb12u1
2025-06-07 07:43:37 status half-configured gcc-12-base:arm64 12.2.0-14+deb12u1
2025-06-07 07:43:37 status installed gcc-12-base:arm64 12.2.0-14+deb12u1
2025-06-07 07:43:37 configure tzdata:all 2025b-0+deb12u1 <none>
2025-06-07 07:43:37 status unpacked tzdata:all 2025b-0+deb12u1
2025-06-07 07:43:37 status half-configured tzdata:all 2025b-0+deb12u1
2025-06-07 07:43:39 status installed tzdata:all 2025b-0+deb12u1
2025-06-07 07:43:39 configure ncurses-base:all 6.4-4 <none>
2025-06-07 07:43:39 status unpacked ncurses-base:all 6.4-4
2025-06-07 07:43:39 status half-configured ncurses-base:all 6.4-4
2025-06-07 07:43:39 status installed ncurses-base:all 6.4-4
2025-06-07 07:43:39 configure init-system-helpers:all 1.65.2 <none>
2025-06-07 07:43:39 status unpacked init-system-helpers:all 1.65.2
2025-06-07 07:43:39 status half-configured init-system-helpers:all 1.65.2
2025-06-07 07:43:39 status installed init-system-helpers:all 1.65.2
2025-06-07 07:43:39 configure libgcc-s1:arm64 12.2.0-14+deb12u1 <none>
2025-06-07 07:43:39 status unpacked libgcc-s1:arm64 12.2.0-14+deb12u1
2025-06-07 07:43:39 status half-configured libgcc-s1:arm64 12.2.0-14+deb12u1
2025-06-07 07:43:39 status installed libgcc-s1:arm64 12.2.0-14+deb12u1
2025-06-07 07:43:39 configure libc6:arm64 2.36-9+deb12u10 <none>
2025-06-07 07:43:39 status unpacked libc6:arm64 2.36-9+deb12u10
2025-06-07 07:43:39 status half-configured libc6:arm64 2.36-9+deb12u10
2025-06-07 07:43:40 status installed libc6:arm64 2.36-9+deb12u10
2025-06-07 07:43:40 configure libudev1:arm64 252.36-1~deb12u1 <none>
2025-06-07 07:43:40 status unpacked libudev1:arm64 252.36-1~deb12u1
2025-06-07 07:43:40 status half-configured libudev1:arm64 252.36-1~deb12u1
2025-06-07 07:43:40 status installed libudev1:arm64 252.36-1~deb12u1
2025-06-07 07:43:40 configure libffi8:arm64 3.4.4-1 <none>
